dataset,method,signature_id,T_total,T_train,T_val,T_test,param,seed,test_n_alerts,test_has_alert,test_detected,test_precision,test_recall,test_f1,test_far,test_storage_reduc,test_tp_iv,test_fp_iv,test_tp_al,test_fn_al,test_mean_delay,test_n_on
firefox-android,"ARIMA(1,1,1)",4654669,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.09375,0.8516,0,12,0,0,,19
firefox-android,"ARIMA(1,1,1)",4654671,643,386,129,128,0.3,,0,False,False,0.0,0.0,0.0,0.046875,0.9531,0,6,0,0,,6
firefox-android,"ARIMA(1,1,1)",4670242,637,382,127,128,0.3,,0,False,False,0.0,0.0,0.0,0.039062,0.9375,0,5,0,0,,8
firefox-android,"ARIMA(1,1,1)",4670243,637,382,127,128,0.3,,0,False,False,0.0,0.0,0.0,0.039062,0.9375,0,5,0,0,,8
firefox-android,"ARIMA(1,1,1)",4670245,637,382,127,128,0.3,,0,False,False,0.0,0.0,0.0,0.054688,0.8516,0,7,0,0,,19
firefox-android,"ARIMA(1,1,1)",4670246,637,382,127,128,0.3,,0,False,False,0.0,0.0,0.0,0.070312,0.9141,0,9,0,0,,11
firefox-android,"ARIMA(1,1,1)",4653987,634,380,127,127,0.3,,0,False,False,0.0,0.0,0.0,0.047244,0.9213,0,6,0,0,,10
firefox-android,"ARIMA(1,1,1)",4653988,634,380,127,127,0.3,,0,False,False,0.0,0.0,0.0,0.047244,0.9213,0,6,0,0,,10
firefox-android,"ARIMA(1,1,1)",4653989,634,380,127,127,0.3,,0,False,False,0.0,0.0,0.0,0.047244,0.9213,0,6,0,0,,10
firefox-android,"ARIMA(1,1,1)",4653990,634,380,127,127,0.3,,0,False,False,0.0,0.0,0.0,0.047244,0.9213,0,6,0,0,,10
firefox-android,"ARIMA(1,1,1)",4653991,634,380,127,127,0.3,,0,False,False,0.0,0.0,0.0,0.047244,0.9213,0,6,0,0,,10
firefox-android,"ARIMA(1,1,1)",4653993,634,380,127,127,0.3,,1,True,True,0.1111,1.0,0.2,0.062992,0.8976,1,8,1,0,5.0,13
firefox-android,"ARIMA(1,1,1)",4653995,634,380,127,127,0.3,,1,True,True,0.1667,1.0,0.2857,0.03937,0.8898,1,5,1,0,5.0,14
firefox-android,"ARIMA(1,1,1)",4653996,634,380,127,127,0.3,,2,True,True,0.1111,0.5,0.1818,0.062992,0.8898,1,8,1,1,-1.0,14
firefox-android,"ARIMA(1,1,1)",4653997,634,380,127,127,0.3,,2,True,True,0.1111,0.5,0.1818,0.062992,0.8898,1,8,1,1,-1.0,14
firefox-android,"ARIMA(1,1,1)",4653998,634,380,127,127,0.3,,0,False,False,0.0,0.0,0.0,0.070866,0.8976,0,9,0,0,,13
firefox-android,"ARIMA(1,1,1)",4653999,634,380,127,127,0.3,,2,True,True,0.1111,0.5,0.1818,0.062992,0.8898,1,8,1,1,-1.0,14
firefox-android,"ARIMA(1,1,1)",4654000,634,380,127,127,0.3,,2,True,False,0.0,0.0,0.0,0.03937,0.9449,0,5,0,2,,7
firefox-android,"ARIMA(1,1,1)",4654002,634,380,127,127,0.3,,2,True,True,0.1818,1.0,0.3077,0.070866,0.8661,2,9,2,0,-0.5,17
firefox-android,"ARIMA(1,1,1)",4654004,634,380,127,127,0.3,,1,True,False,0.0,0.0,0.0,0.110236,0.8583,0,14,0,1,,18
firefox-android,"ARIMA(1,1,1)",4654636,634,380,127,127,0.3,,1,True,True,0.1667,1.0,0.2857,0.03937,0.9055,1,5,1,0,0.0,12
firefox-android,"ARIMA(1,1,1)",4654637,634,380,127,127,0.3,,1,True,True,0.25,1.0,0.4,0.023622,0.9213,1,3,1,0,0.0,10
firefox-android,"ARIMA(1,1,1)",4654638,634,380,127,127,0.3,,0,False,False,0.0,0.0,0.0,0.07874,0.8425,0,10,0,0,,20
firefox-android,"ARIMA(1,1,1)",4654639,634,380,127,127,0.3,,1,True,True,0.1429,1.0,0.25,0.047244,0.9134,1,6,1,0,0.0,11
firefox-android,"ARIMA(1,1,1)",4654640,634,380,127,127,0.3,,1,True,True,0.1667,1.0,0.2857,0.03937,0.8819,1,5,1,0,0.0,15
