dataset,signature_id,T_total,T_train,T_val,T_test,n_params,trans_train_time_s,trans_train_mem_KB,trans_n_epochs,trans_infer_time_s,trans_infer_time_ms_per_step,trans_infer_mem_KB,arima_fit_time_s,arima_fit_mem_KB,arima_infer_time_s,arima_infer_time_ms_per_step,arima_infer_mem_KB,sma_infer_time_s,sma_infer_time_ms_per_step,sma_infer_mem_KB,ewma_infer_time_s,ewma_infer_time_ms_per_step,ewma_infer_mem_KB,last_infer_time_s,last_infer_time_ms_per_step,last_infer_mem_KB
mozilla-beta,4381613,974,584,195,195,8641,0.8006,0.0,20,0.170498,0.8743,4.0,0.0903,0.0,0.979,5.021,0.0,0.013025,0.0668,0.0,0.007413,0.038,0.0,0.007387,0.0379,0.0
mozilla-beta,4381689,974,584,195,195,8641,0.7734,0.0,20,0.142814,0.7324,4.0,0.1002,0.0,0.9694,4.971,0.0,0.010899,0.0559,0.0,0.007511,0.0385,0.0,0.007606,0.039,0.0
mozilla-beta,4381707,974,584,195,195,8641,0.8529,40.0,20,0.181739,0.932,12.0,0.0962,0.0,0.9747,4.999,0.0,0.010362,0.0531,0.0,0.007524,0.0386,0.0,0.007222,0.037,0.0
mozilla-beta,2130538,973,584,195,194,8641,0.7903,0.0,20,0.143464,0.7395,4.0,0.0589,0.0,0.9658,4.978,0.0,0.012762,0.0658,0.0,0.008978,0.0463,0.0,0.00932,0.048,0.0
mozilla-beta,2085955,972,583,194,195,8641,0.8181,0.0,20,0.127982,0.6563,8.0,0.0649,0.0,0.9886,5.07,0.0,0.010596,0.0543,0.0,0.007273,0.0373,0.0,0.007679,0.0394,0.0
mozilla-beta,2170928,972,583,194,195,8641,0.7656,36.0,20,0.140455,0.7203,12.0,0.0999,0.0,0.9871,5.062,0.0,0.010632,0.0545,0.0,0.007159,0.0367,0.0,0.007234,0.0371,0.0
mozilla-beta,3890864,968,581,194,193,8641,0.7795,0.0,20,0.143416,0.7431,4.0,0.0647,0.0,1.2428,6.44,0.0,0.011309,0.0586,0.0,0.010922,0.0566,0.0,0.00954,0.0494,0.0
mozilla-beta,3890866,968,581,194,193,8641,0.8766,0.0,20,0.139647,0.7236,4.0,0.0716,0.0,1.0099,5.233,0.0,0.01034,0.0536,0.0,0.007161,0.0371,0.0,0.007207,0.0373,0.0
mozilla-beta,3890868,968,581,194,193,8641,0.7524,104.0,20,0.177659,0.9205,12.0,0.1612,0.0,0.9892,5.125,0.0,0.010201,0.0529,0.0,0.007384,0.0383,0.0,0.00718,0.0372,0.0
mozilla-beta,3890870,968,581,194,193,8641,0.6263,0.0,15,0.125779,0.6517,4.0,0.0643,0.0,0.9859,5.108,0.0,0.01089,0.0564,0.0,0.007502,0.0389,0.0,0.007555,0.0391,0.0
mozilla-beta,1703027,967,580,193,194,8641,0.7971,0.0,20,0.13746,0.7086,8.0,0.1272,0.0,0.9885,5.095,0.0,0.010918,0.0563,0.0,0.007478,0.0385,0.0,0.007529,0.0388,0.0
mozilla-beta,4167958,966,580,193,193,8641,0.801,36.0,20,0.153115,0.7933,12.0,0.0997,0.0,1.0123,5.245,0.0,0.010216,0.0529,0.0,0.007045,0.0365,0.0,0.00739,0.0383,0.0
mozilla-beta,4167960,966,580,193,193,8641,0.6267,0.0,16,0.155942,0.808,4.0,0.3435,0.0,0.9785,5.07,0.0,0.011255,0.0583,0.0,0.011152,0.0578,0.0,0.008294,0.043,0.0
mozilla-beta,4167962,966,580,193,193,8641,0.8847,0.0,20,0.134393,0.6963,4.0,0.1039,0.0,1.053,5.456,0.0,0.010374,0.0538,0.0,0.007152,0.0371,0.0,0.007452,0.0386,0.0
mozilla-beta,4167964,966,580,193,193,8641,0.7474,56.0,20,0.161179,0.8351,12.0,0.1144,0.0,1.0245,5.308,0.0,0.010603,0.0549,0.0,0.007081,0.0367,0.0,0.007266,0.0377,0.0
mozilla-beta,4168211,966,580,193,193,8641,0.8852,0.0,20,0.175505,0.9094,4.0,0.1417,0.0,1.2826,6.645,0.0,0.0118,0.0611,0.0,0.008052,0.0417,0.0,0.008299,0.043,0.0
mozilla-beta,4168215,966,580,193,193,8641,0.9504,0.0,20,0.185051,0.9588,4.0,0.1052,0.0,1.1098,5.75,0.0,0.011296,0.0585,0.0,0.007756,0.0402,0.0,0.010611,0.055,0.0
mozilla-beta,4168218,966,580,193,193,8641,0.9437,120.0,20,0.164467,0.8522,12.0,0.1099,0.0,1.1487,5.952,0.0,0.011331,0.0587,0.0,0.00774,0.0401,0.0,0.007783,0.0403,0.0
mozilla-beta,3998101,962,577,192,193,8641,0.7799,1292.0,17,0.148483,0.7693,4.0,0.106,0.0,0.9768,5.061,4.0,0.010681,0.0553,0.0,0.007424,0.0385,0.0,0.007771,0.0403,0.0
mozilla-beta,3998107,962,577,192,193,8641,0.8076,0.0,20,0.135995,0.7046,4.0,0.0949,4.0,0.9973,5.167,0.0,0.011137,0.0577,0.0,0.007475,0.0387,0.0,0.007665,0.0397,0.0
mozilla-beta,3998165,960,576,192,192,8641,0.8811,20.0,20,0.152489,0.7942,12.0,0.0773,0.0,1.0477,5.457,0.0,0.010807,0.0563,0.0,0.007412,0.0386,0.0,0.00755,0.0393,0.0
mozilla-beta,1485495,956,574,191,191,8641,0.8246,0.0,20,0.163121,0.854,4.0,0.0585,0.0,0.9872,5.168,0.0,0.010731,0.0562,0.0,0.007375,0.0386,0.0,0.008119,0.0425,0.0
mozilla-beta,4169255,956,574,191,191,8641,0.8208,0.0,20,0.141378,0.7402,4.0,0.1555,4.0,1.0113,5.295,4.0,0.010496,0.055,0.0,0.00718,0.0376,0.0,0.007225,0.0378,0.0
mozilla-beta,4169257,956,574,191,191,8641,0.7711,56.0,20,0.143614,0.7519,12.0,0.1683,0.0,1.0387,5.438,0.0,0.010853,0.0568,0.0,0.007505,0.0393,0.0,0.007549,0.0395,0.0
mozilla-beta,4169259,956,574,191,191,8641,0.7395,0.0,20,0.140048,0.7332,4.0,0.0869,0.0,1.0428,5.46,0.0,0.010629,0.0556,0.0,0.007417,0.0388,0.0,0.007444,0.039,0.0
mozilla-beta,4169261,956,574,191,191,8641,0.8143,0.0,20,0.152374,0.7978,4.0,0.0698,0.0,1.0952,5.734,0.0,0.010933,0.0572,0.0,0.007414,0.0388,0.0,0.007411,0.0388,0.0
mozilla-beta,4169649,956,574,191,191,8641,0.8135,56.0,20,0.144782,0.758,12.0,0.115,0.0,1.0296,5.391,0.0,0.010801,0.0565,0.0,0.00734,0.0384,0.0,0.007373,0.0386,0.0
mozilla-beta,4169650,956,574,191,191,8641,0.6418,0.0,17,0.16947,0.8873,4.0,0.1324,0.0,1.0811,5.66,0.0,0.011028,0.0577,0.0,0.007739,0.0405,0.0,0.007869,0.0412,0.0
mozilla-beta,4169651,956,574,191,191,8641,0.6001,0.0,16,0.158489,0.8298,4.0,0.1234,0.0,1.0237,5.359,0.0,0.010906,0.0571,0.0,0.007475,0.0391,0.0,0.007381,0.0386,0.0
mozilla-beta,4169652,956,574,191,191,8641,0.7876,88.0,20,0.135505,0.7094,12.0,0.1231,0.0,1.0171,5.325,0.0,0.010587,0.0554,0.0,0.007615,0.0399,0.0,0.007529,0.0394,0.0
mozilla-beta,4169654,956,574,191,191,8641,0.7992,0.0,20,0.141257,0.7396,4.0,0.0966,0.0,0.9847,5.155,0.0,0.010608,0.0555,0.0,0.007323,0.0383,0.0,0.007407,0.0388,0.0
mozilla-beta,4169655,956,574,191,191,8641,0.8472,0.0,20,0.135268,0.7082,4.0,0.1289,0.0,0.9906,5.186,0.0,0.010195,0.0534,0.0,0.007074,0.037,0.0,0.007065,0.037,0.0
mozilla-beta,4169657,956,574,191,191,8641,0.7686,56.0,20,0.139763,0.7317,12.0,0.0532,0.0,0.9631,5.043,0.0,0.010444,0.0547,0.0,0.007165,0.0375,0.0,0.007345,0.0385,0.0
mozilla-beta,4169660,956,574,191,191,8641,0.8649,0.0,20,0.219198,1.1476,4.0,0.1154,0.0,0.9694,5.076,0.0,0.010286,0.0539,0.0,0.007006,0.0367,0.0,0.007055,0.0369,0.0
mozilla-beta,4381648,956,574,191,191,8641,0.8027,0.0,20,0.131317,0.6875,4.0,0.1073,0.0,0.9315,4.877,0.0,0.010174,0.0533,0.0,0.007072,0.037,0.0,0.007234,0.0379,0.0
mozilla-beta,3998114,954,572,191,191,8641,0.7301,180.0,20,0.126927,0.6645,4.0,0.0879,0.0,1.0081,5.278,0.0,0.010335,0.0541,0.0,0.007066,0.037,0.0,0.007122,0.0373,0.0
mozilla-beta,3998135,954,572,191,191,8641,0.7304,0.0,20,0.159011,0.8325,0.0,0.1036,0.0,1.0068,5.271,0.0,0.010296,0.0539,0.0,0.007054,0.0369,0.0,0.007118,0.0373,0.0
mozilla-beta,4167882,953,572,191,190,8641,0.7436,0.0,20,0.146212,0.7695,0.0,0.0889,0.0,0.9767,5.141,0.0,0.010065,0.053,0.0,0.007195,0.0379,0.0,0.007094,0.0373,0.0
mozilla-beta,4167884,953,572,191,190,8641,0.7403,0.0,20,0.16788,0.8836,0.0,0.0796,0.0,1.0116,5.324,0.0,0.010169,0.0535,0.0,0.006913,0.0364,0.0,0.006937,0.0365,0.0
mozilla-beta,4167886,953,572,191,190,8641,0.7796,16.0,20,0.124955,0.6577,0.0,0.0524,0.0,1.0702,5.632,0.0,0.010203,0.0537,0.0,0.007182,0.0378,0.0,0.007071,0.0372,0.0
mozilla-beta,4167888,953,572,191,190,8641,0.7539,0.0,20,0.146143,0.7692,0.0,0.0801,0.0,0.9884,5.202,0.0,0.010474,0.0551,0.0,0.007021,0.037,0.0,0.00705,0.0371,0.0
mozilla-beta,4169030,953,572,191,190,8641,0.8221,0.0,20,0.188658,0.9929,0.0,0.1603,0.0,0.9933,5.228,0.0,0.010086,0.0531,0.0,0.006943,0.0365,0.0,0.007012,0.0369,0.0
mozilla-beta,4169031,953,572,191,190,8641,0.73,0.0,20,0.134858,0.7098,0.0,0.0708,0.0,0.9615,5.061,0.0,0.011473,0.0604,0.0,0.007205,0.0379,0.0,0.007124,0.0375,0.0
mozilla-beta,4169032,953,572,191,190,8641,0.7044,0.0,20,0.127008,0.6685,0.0,0.0669,0.0,1.0308,5.425,0.0,0.010682,0.0562,0.0,0.0073,0.0384,0.0,0.007485,0.0394,0.0
mozilla-beta,4169033,953,572,191,190,8641,0.8075,0.0,20,0.171209,0.9011,0.0,0.1728,0.0,1.0561,5.558,0.0,0.010463,0.0551,0.0,0.007342,0.0386,0.0,0.007384,0.0389,0.0
mozilla-beta,4169035,953,572,191,190,8641,0.9022,0.0,20,0.208707,1.0985,0.0,0.21,0.0,1.164,6.127,0.0,0.011453,0.0603,0.0,0.00785,0.0413,0.0,0.009979,0.0525,0.0
